Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Sentilles, Séverine; ",Research Planning Course–Assignment 2,,,,,,Citeseer
"Hänninen, Kaj; Mäki-Turja, Jukka; ",Component technology in Resource Constrained Embedded Real-Time Systems,Department of Computer Science and Engineering,,,,2004,
"Hjertström, Andreas; ",INCENSE: Information-Centric Development of Component-Based Embedded Real-Time Systems,,,,,,Citeseer
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Mubeen, Saad; Pierantonio, Alfonso; Sjödin, Mikael; ",Handling uncertainty in automatically generated implementation models in the automotive domain,2016 42th Euromicro Conference on Software Engineering and Advanced Applications (SEAA),,,173-180,2016,IEEE
"Salman, Shaik Mohammed; Papadopoulos, Alessandro V; Mubeen, Saad; Nolte, Thomas; ",A systematic methodology to migrate complex real-time software systems to multi-core platforms,Journal of Systems Architecture,117,,102087,2021,Elsevier
"Jasharllari, Igli; ",A comparison framework for the vehicular modeling languages on enabling pre-runtime timing analysis,,,,,2020,
"Bucaioni, Alessio; ",A-CPS: Automation in High-performance Cyber Physical Systems Development.,STAF (Co-Located Events),,,15-20,2019,
"Mubeen, Saad; Sjödin, Mikael; Nolte, Thomas; Lundbäck, John; Gålnander, Mattias; Lundbäck, Kurt-Lennart; ",End-to-end timing analysis of black-box models in legacy vehicular distributed embedded systems,2015 IEEE 21st International Conference on Embedded and Real-Time Computing Systems and Applications,,,149-158,2015,IEEE
"Zadrija, Valentina; ",Component Based Technologies Classification,,,,,,
"Alam, Muhammad; Dghais, Wael; Chen, Yuanfang; ",Real-Time Modelling and Processing for Communication Systems,,,,,2018,Springer
"Becker, Matthias; Dasari, Dakshina; Mubeen, Saad; Behnam, Moris; Nolte, Thomas; ",End-to-end timing analysis of cause-effect chains in automotive embedded systems,Journal of Systems Architecture,80,,104-113,2017,Elsevier
"Hänninen, Kaj; ",Efficient memory utilization in resource constrained real-time systems,,,,,2008,"School of Innovation, Design and Engineering, Mälardalen University"
"Ashjaei, Mohammad; Bello, Lucia Lo; Daneshtalab, Masoud; Patti, Gaetano; Saponara, Sergio; Mubeen, Saad; ",Time-Sensitive Networking in automotive embedded systems: State of the art and research opportunities,Journal of systems architecture,117,,102137,2021,Elsevier
"Campeanu, Gabriel; ",GPU Support for Component-based Development of Embedded Systems,,,,,2018,Mälardalen University
"Qureshi, Tahir Naseer; Törngren, Martin; Pessson, Magnus; Chen, De-Jiu; Sjöstedt, Carl-Johan; ",Towards harmonizing multiplearchitecture description languages for real-time embedded systems,Real-time in Sweden,,,,2011,
"Lednicki, Luka; Crnkovic, Ivica; Zagar, Mario; ",Automatic synthesis of hardware-specific code in component-based embedded systems,"ICSEA 2012, The Seventh International Conference on Software Engineering Advances",,,563-570,2012,
"Hang, Yin; Hansson, Hans; ",Flexible and efficient reuse of multi-mode components for building multi-mode systems—An extended report,,,,,2014,"Tech. Rep. MDH-MRTC-288/2014-1-SE, Mälardalen University (August 2014)"
"Mubeen, Saad; Lisova, Elena; Vulgarakis Feljan, Aneta; ",Timing predictability and security in safety-critical industrial cyber-physical systems: A position paper,Applied Sciences,10,9,3125,2020,MDPI
"Sundmark, Daniel; Möller, Anders; Nolin, Mikael; ",Predictable Assemblies using Monitored Software Components,,,,,,
"Sánchez-Ledesma, Francisco; Pastor, Juan; Alonso, Diego; Alvarez, Bárbara; ",A Task-Based Concurrency Scheme for Executing Component-Based Applications,Ada User Journal,36,1,,2015,
"Jonsson, Jonas; ",Porting defensive aid suite to vehicle control system,,,,,2010,
"Möller, Anders; Åkerholm, Mikael; Fröberg, Joakim; Nolin, Mikael; Larsson, Robert; ",Industrial grading of quality requirements for automotive software component technologies,Embedded Real-Time Systems Implementation Workshop in conjunction with the 26th IEEE International Real-Time Systems Symposium,,,,2005,
"Thangavel, Gopalakrishnan; ",Visual Studio Add-in for Proxy Object Code Generation,,,,,2013,
"Yin, Hang; Hansson, Hans; ",Fighting CPS Complexity by Component-Based Software Development of Multi-Mode Systems,Designs,2,4,39,2018,MDPI
"Mustapic, Goran; Wall, Anders; Norstrom, C; Crnkovic, Ivica; Sandstrom, K; Froberg, J; Andersson, Johan; ",Real world influences on software architecture-interviews with industrial system experts,Proceedings. Fourth Working IEEE/IFIP Conference on Software Architecture (WICSA 2004),,,101-111,2004,IEEE
"Yin, Hang; ",Introducing Mode Switch in Component-based Software Development,,,,,2015,Mälardalen University
"Feljan, Juraj; Lednicki, Luka; Maras, Josip; Petricic, A; Crnkovic, I; ",Dices technical report classification and survey of component models,,,,,2009,"Tech. rep., Technical report"
"Lednicki, Luka; Crnkovic, Ivica; ",Towards automatic synthesis of hardware-specific code in component-based embedded systems,2012 38th Euromicro Conference on Software Engineering and Advanced Applications,,,71-74,2012,IEEE
"Rehman, Saud Ur; ",A Visual Studio Add-In for Software Component Services in Smart Devices,,,,,2011,
"Li, Shuai; Rubini, Stéphane; Singhoff, Frank; Bourdelles, Michel; ",Applying holistic schedulability tests to industrial systems: Experience and lessons learned,Proceedings of the 5th International Workshop on Analysis Tools and Methodologies for Embedded and Real-time Systems,200,,,2014,
"Masrur, Alejandro; Kit, Michał; Matěna, Vladimír; Bureš, Tomáš; Hardt, Wolfram; ",Component-based design of cyber-physical applications with safety-critical requirements,Microprocessors and Microsystems,42,,70-86,2016,Elsevier
"Andrade, Hugo; ",Investigating software deployment on heterogeneous platforms,2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA),,,272-276,2016,IEEE
"Iyenghar, Padma; Huning, Lars; Pulvermueller, Elke; ",Automated End-to-End Timing Analysis of AUTOSAR-based Causal Event Chains.,ENASE,,,477-489,2020,
"Campeanu, Gabriel; ",Support for high performance using heterogeneous embedded systems: a Ph. D. research proposal,Proceedings of the 18th international doctoral symposium on Components and architecture,,,19-24,2013,
"Yin, Hang; Hansson, Hans; Orlando, Daniele; Miscia, Francesco; Di Marco, Simone; ",Component-based software development of multi-mode systems—An extended report,,,,,2016,
"ADVA, S; LE, NCE; ",ual Stud,,,,,,
"Bucaioni, Alessio; Cicchetti, Antonio; Ciccozzi, Federico; Eramo, Romina; Mubeen, Saad; Sjödin, Mikael; ",Anticipating Implementation Level Timing Analysis for Driving Design Level Decisions in,,,,,,
"Becker, Matthias; Mubeen, Saad; Behnam, Moris; Nolte, Thomas; ",Extending automotive legacy systems with existing end-to-end timing constraints,Information Technology-New Generations,,,597-605,2018,Springer
"Hang, Yin; Hansson, Hans; ",Handling multiple mode switch scenarios in component-based multi-mode systems,2013 20th Asia-Pacific Software Engineering Conference (APSEC),1,,404-413,2013,IEEE
"Ibrahim, Abdelgadir E; Zhao, Liping; Kinghorn, John; ",Embedded systems development: quest for productivity and reliability,Fifth International Conference on Commercial-off-the-Shelf (COTS)-Based Software Systems (ICCBSS'05),,,10 pp.,2006,IEEE
"Bucaioni, Alessio; ",Boosting the development of high-performance automotive systems,Junior Researcher Community Event at Software Technologies: Applications and Foundations 2019 STAF-JRC19,,,,2019,
"Hošek, Petr; Pop, Tomáš; Bureš, Tomáš; Hnětynka, Petr; Malohlava, Michal; ",Comparison of component frameworks for real-time embedded systems,International Symposium on Component-Based Software Engineering,,,21-36,2010,Springer
"Campeanu, Gabriel; Saadatmand, Mehrdad; ",Run-time component allocation in CPU-GPU embedded systems,Proceedings of the Symposium on Applied Computing,,,1259-1265,2017,
"Wiklander, Jimmie; Eriksson, Johan; Lindgren, Per; ",Utilizing an IDE for component-based design of embedded real-time software for an autonomous car,,,,,2011,Luleå University of Technology
"Bucaioni, Alessio; Pelliccione, Patrizio; Mubeen, Saad; ",Modeling Centralised Automotive E/E Software Architectures,E Software Architectures,,,,,
"Dersten, Sara; Froberg, Joakim; Axelsson, Jakob; Land, Rikard; ",Analysis of the business effects of software architecture refactoring in an automotive development organization,2010 36th EUROMICRO Conference on Software Engineering and Advanced Applications,,,269-278,2010,IEEE
"Bucaioni, Alessio; Mubeen, Saad; Ciccozzi, Federico; Cicchetti, Antonio; Sjödin, Mikael; ",Comparative Evaluation of Timing Model Extraction Methodologies at EAST-ADL Design Level,"2015 IEEE 17th International Conference on High Performance Computing and Communications, 2015 IEEE 7th International Symposium on Cyberspace Safety and Security, and 2015 IEEE 12th International Conference on Embedded Software and Systems",,,1110-1115,2015,IEEE
"Barkah, Dani; Ermedahl, Andreas; Gustafsson, Jan; Lisper, Björn; Sandberg, Christer; ",Evaluation of automatic flow analysis for WCET calculation on industrial real-time system code,2008 Euromicro Conference on Real-Time Systems,,,331-340,2008,IEEE
"Wiklander, Jimmie; Kruglyak, Andrey; Nordlander, Johan; Lindgren, Per; ",Personal alarm device: a case study in component-based design of embedded real-time software,Real-Time in Sweden: 13/06/2011-14/06/2011,,,,2011,
"Martínez, Patricia López; Barros, Laura; Drake, José M; ",Design of component-based real-time applications,Journal of Systems and Software,86,2,449-467,2013,Elsevier
"Hong, Xiao; Di, Wu; Ling, Zhang; ",SOFTWARE COMPONENT AND PREDICTION FOR NETWORK PROCESSOR BASED APPLICATION,,,,,,
"Kuncar, Jiri; ",ProCom middleware,,,,,2011,
"Al-Azzoni, Issam; Iqbal, Saqib; ",Meta-heuristics for solving the software component allocation problem,IEEE Access,8,,153067-153076,2020,IEEE
"Haddad, Hisham M; Xie, Ying; ",Wrapper-based framework for domain-specific software reuse,Journal of information science and engineering,22,2,269,2006,INSTITUTE OF INFORMATION SCIENCE ACADEMIA SINICA
"Inam, Rafia; Carlson, Jan; Sjödin, Mikael; Kunčar, Jiří; ",Predictable integration and reuse of executable real-time components,Journal of Systems and Software,91,,147-162,2014,Elsevier
"Hang, Yin; Hansson, Hans; ",Handling emergency mode switch for component-based systems,2014 21st Asia-Pacific Software Engineering Conference,1,,151-158,2014,IEEE
"Campeanu, Gabriel; Saadatmand, Mehrdad; ",A Two-Layer Component-Based Allocation for Embedded Systems with GPUs,Designs,3,1,6,2019,MDPI
"Zivojevic, Vildan; ",Towards time predictable and eﬃcient cache management in multi-threaded systems,,,,,2020,
"Heinzemann, Christian; Becker, Steffen; ",Comparison of the MechatronicUML Component Models,,,,,,
"Driven, Time; ",Automatic Train Control,,,,,2010,
"Bello, Lucia Lo; Mariani, Riccardo; Mubeen, Saad; Saponara, Sergio; ",Recent advances and trends in on-board embedded and networked automotive systems,IEEE Transactions on Industrial Informatics,15,2,1038-1051,2018,IEEE
"Iyenghar, Padma; Huning, Lars; Pulvermueller, Elke; ",Model-Based Timing Analysis of Automotive Use Case Developed in UML,International Conference on Evaluation of Novel Approaches to Software Engineering,,,360-385,2021,Springer
"Mubeen, Saad; Lisova, Elena; Feljan, Aneta Vulgarakis; ",A perspective on ensuring predictability in time-critical and secure cooperative cyber physical systems,2019 IEEE International Conference on Industrial Technology (ICIT),,,1379-1384,2019,IEEE
"Kunčar, Jiří; ",ProCom middleware,,,,,2013,"Univerzita Karlova, Matematicko-fyzikální fakulta"
"Åkerholm, Mikael; Sandström, Kristian; Fredriksson, Johan; ",Interference control for integration of vehicular software components,Technical Report,,,,2004,
"Åkerholm, Mikael; ",A software component technology for vehicle control systems,,,,,2005,Mälardalen University
"Wiklander, Jimmie; ",Component-based software design of embedded real-time systems,,,,,2009,Luleå tekniska universitet
"Fredriksson, Johan; ",Transformation of component models to real-time models,,,,,2005,"Technical report, Technology Licentiate Thesis"
"Törngren, Martin; Larses, Ola; Sandström, Kristian; Fredriksson, Johan; Fröberg, Joakim; Norström, Christer; Åkerholm, Mikael; ",Vehicular Embedded Control Systems,,,,,,
"Fredriksson, Johan; ",Achieve consistent mappings between component models and real-time models,,,,,2005,Citeseer
"Panunzio, Marco; ","Definition, realization and evaluation of a software reference architecture for use in space applications",,,,,2011,alma
"Monot, Aurelien; Oriol, Manuel; Schneider, Camille; Wahler, Michael; ","Modern software architecture for embedded real-time devices: High value, little overhead",2016 13th Working IEEE/IFIP Conference on Software Architecture (WICSA),,,201-210,2016,IEEE
"Eddine, TOUAHRIA Imad; ",Design and Implementation of Real-Time Applications Based on Component Models,,,,,2022,Ministry of Higher Education
"Iyer, Shankar Vanchesan; ",REAL-TIME CHALLENGES OF VEHICULAR EMBEDDED SYSTEMS ON MULTI-CORE-A MAPPING STUDY,,,,,2017,
"Bondarau, Yahor; ",Design-time performance analysis of component-based real-time systems,,,,,2009,"PhD thesis, Technische Universiteit Eindhoven"
"Korra, Sampath; Vasumathi, D; Vinayababu, A; ",A Framework for Software Component Reusability Analysis using Flexible Software Components Extraction,,,,,,
"Pop, Tomáš; Hnětynka, Petr; Hošek, Petr; Malohlava, Michal; Bureš, Tomáš; ",Comparison of component frameworks for real-time embedded systems,Knowledge and Information Systems,40,1,127-170,2014,Springer
"Åkerholm, Mikael; ",Reusability of Software Components in Vehicular Applications,,,,,2008,PhD Thesis
"Becker, Matthias; Mubeen, Saad; ",Timing Analysis Driven Design-Space Exploration of Cause-Effect Chains in Automotive Systems,IECON 2018-44th Annual Conference of the IEEE Industrial Electronics Society,,,4090-4095,2018,IEEE
"Morelli, Matteo; Cremona, Fabio; Di Natale, Marco; ",A system-level framework for the evaluation of the performance cost of scheduling and communication delays in control systems,5th International Workshop on Analysis Tools and Methodologies for Embedded and Real-time Systems,,,13,2014,
"Heinzemann, Christian; Becker, Steffen; Volk, Andreas; ",Transactional execution of hierarchical reconfigurations in cyber-physical systems,Software & Systems Modeling,18,1,157-189,2019,Springer
"Thramboulidis, Kleanthis C; Doukas, G; Koumoutsos, G; ",A SOA-based embedded systems development environment for industrial automation,EURASIP Journal on Embedded Systems,2008,,1-15,2007,Springer
"Marielle, Gallardo; Sweta, Chakraborty; ",DECISION-MAKING FOR AUTONOMOUS CONSTRUCTION VEHICLES,,,,,2019,
"Ciccozzi, Federico; Tivoli, Massimo; Carlson, Jan; ",1st International Workshop on Model-Driven Engineering for Component-Based Software Systems (ModComp) 2014 Workshop Proceedings,,,,,2014,Citeseer
"Iyenghar, Padma; ",Systematic Synthesis of Energy-Aware Timing Models in Automotive Software Systems,International Conference on Model-Driven Engineering and Software Development,,,49-73,2021,Springer
"Di Natale, M; Bambagini, M; Morelli, M; Passaro, A; Di Stefano, D; Arturi, G; ",Enabling model-based development of distributed embedded systems on open source and free tools,WATERS workshop at Euromicro ECRTS,,,,2012,
"Anbarasu, Aravindan; ",Timing Verification of Application Software in Multi-Core Systems,,,,,2019,
"Morelli, Matteo; Di Natale, Marco; ",An MDE approach for the design of platform-aware controls in performance-sensitive applications,Proceedings of the 2014 IEEE Emerging Technology and Factory Automation (ETFA),,,1-8,2014,IEEE
"Avasthi, Vijay; ",Study of component based software engineering approach from a domain perspective,,,,,2012,"College of Engineering, University of Petroleum & Energy Studies"
"Salman, Shaik Mohammed; Papadopoulos, Alessandro Vittorio; Mubeen, Saad; Nolte, Thomas; ",A systematic migration methodology for complex real-time software systems,2020 IEEE 23rd International Symposium on Real-Time Distributed Computing (ISORC),,,192-200,2020,IEEE
"Hänninen, Kaj; ",Introducing a Memory Efficient Execution Model in a Tool-Suite for Real-Time Systems,,,,,2006,"Department of Computer Science and Electronics, Mälardalen University"
"Vidović, Tin; Hasanagić, Lamija; ",TIGHTER INTER-CORE DELAYS IN MULTI-CORE EMBEDDED SYSTEMS UNDER PARTITIONED SCHEDULING,,,,,2020,
"Hang, Yin; Hansson, Hans; ","Handling emergency mode switch for componentbased systems—an extended report,”","Mälardalen University, Tech. Rep. MDH-MRTC-283/2014–1-SE",,,,2014,
"Štěpán, Petr; ",An extensible attribute framework for ProCom,,,,,2009,"Univerzita Karlova, Matematicko-fyzikální fakulta"
"Nolte, Mikael Sjödin; Sundmark, Daniel; ",System-Level Design and Verification,Embedded Systems Handbook: Embedded Systems Design and Verification,,,,2018,CRC Press
"Benveniste, Albert; ",Real-Time Components,,,,,,
"Schlatow, Johannes; ",Enabling in-field integration in critical embedded systems,,,,,2021,"Dissertation, Braunschweig, Technische Universität Braunschweig, 2021"
"Sundharam, Sakthivel Manikandan; Iyenghar, Padma; Pulvermueller, Elke; ",Software Architecture Modeling of AUTOSAR-Based Multi-Core Mixed-Critical Electric Powertrain Controller,Modelling,2,4,706-727,2021,MDPI
"Jonsson, Bengt; ",Real-Time Components,,,,,,
"Dannmann, Kathrin; ",Synthesizing Real-Time Components to Run-Time Tasks,"Master's Thesis, University of Oldenburg",,,,2009,
"Mubeen, Saad; Marković, Filip; Mentor, Industry; Wall, Anders; ",Integrating Elastic Real-Time Applications on Fog Computing Platforms,,,,,,
"Iyenghar, Padma; Huning, Lars; Pulvermueller, Elke; ",Early Synthesis of Timing Models in AUTOSAR-based Automotive Embedded Software Systems.,MODELSWARD,,,26-38,2020,
"Mubeen, Saad; Mäki-Turja, Jukka; Sjödin, Mikael; ",MPS-CAN analyzer: Integrated implementation of response-time analyses for Controller Area Network,Journal of Systems architecture,60,10,828-841,2014,Elsevier
"Quadri, Imran Rafiq; ",MARTE based model driven design methodology for targeting dynamically reconfigurable FPGA based SoCs,,,,,2010,Université des Sciences et Technologie de Lille-Lille I
"Mubeen, Saad; Ashjaei, Mohammad; Behnam, Moris; Nolte, Thomas; ",Integrating Response-Time Analyses for Heterogeneous Automotive Networks in MPS-CAN Analyzer,"6th International Workshop on Analysis Tools and Methodologies for Embedded and Real-time Systems WATERS 2015, 7 Jul 2015, Lund, Sweden",,,,2015,
"Gharbi, Atef; Gharsellaoui, Hamza; Khalgui, Mohamed; Ahmed, Samir Ben; ",Functional safety of distributed embedded control systems,Handbook of Research on Industrial Informatics and Manufacturing Intelligence: Innovations and Solutions,,,132-170,2012,IGI Global
"Di Natale, Marco; Morelli, Matteo; Cremona, Fabio; ",Matching execution architecture models with functional models to analyze the time performance of CPS systems,2015 international conference on complex systems engineering (ICCSE),,,1-6,2015,IEEE
"Ribeiro, Fabíola Gonçalves Coelho; ",Multi-formalism in different levels of abstraction for requirements engineering and architectural design of real-time embedded systems,,,,,2019,Universidade Federal de Uberlândia
"Riegler, Michael; Sametinger, Johannes; ",Mode switching from a security perspective: first findings of a systematic literature review,International Conference on Database and Expert Systems Applications,,,63-73,2020,Springer
"Fatehah, Murni; Mezhuyev, Vitaliy; Al-Emran, Mostafa; ",A systematic review of metamodelling in software engineering,Recent Advances in Intelligent Systems and Smart Applications,,,3-27,2021,Springer
"Krawczyk, Lukas; Bazzal, Mahmoud; Mackamul, Harald; Weber, Raphael; Wolff, Carsten; ",Complex event models for automotive embedded systems,Journal of Systems Architecture,123,,102343,2022,Elsevier
"Ribeiro, M Sc Fabíola Gonçalves Coelho; ",Doctor in Natural Sciences (Dr. rer. nat.),,,,,,
"Jamont, Jean-Paul; Occello, Michel; ",Meeting the challenges of decentralized embedded applications using multi-agent systems,International Journal of Agent Oriented Software Engineering,5,1,22-67,2015,
"Jamont, Jean-Paul; Occello, Michel; ",Meeting the challenges of decentralized cooperative applications using multiagent systems,,,,,,
"into Models, Reverse Architecting; ",CBSE 2016,,,,,,
"Mustapic, Goran; ",Architecting Software for Complex Embedded Systems: Quality Attribute Based Approach to Openness,,,,,2004,Mälardalen University
"Morelli, Matteo; ",A System-Level Framework for the Design of Complex Cyber-Physical Systems from Synchronous-Reactive Models,,,,,,
"Ericsson, Niclas; Åkerberg, Johan; Björkman, Mats; Lennvall, Tomas; Larsson, Stig; Pei-Breivold, Hongyu; ",Improving Code Reuse between Industrial Embedded Systems and Discrete Event Simulators,2021 IEEE 19th International Conference on Industrial Informatics (INDIN),,,1-6,2021,IEEE
"Sanchez, Francisco; Pinho, Luis Miguel; Alonso, Diego; Pastor, Juan; ",Desarrollo de aplicaciones con requisitos de criticidad temporal mixta utilizando C-Forge,4th Spanish Symposium of Real-Time Systems,,,,2013,
"Li, Yongzhe; Song, Yu; Horváth, Imre; Opiyo, Eliab Z; Zhang, Guangjun; ",Development of a framework for information acquisition and processing in cyber-physical systems,"Proceedings of the 10th international symposium on tools and methods of competitive engineering TMCE 2014, Budapest, Hungary, May 19-23, 2014.",,,,2014,Citeseer
"Pinto, Manuel; Rodrigues, Ricardo; Machado, Rui; Melo, Miguel; Barbosa, Luís; Bessa, Maximino; ",Pioneering Digital Twin for Virtual Reality Training Platforms: a case study for heavy machinery operators in immersive environments,Available at SSRN 4166482,,,,,
"Ericsson, Niclas; Åkerberg, Johan; Björkman, Mats; Lennvall, Tomas; Larsson, Stig; Pei-Breivold, Hongyu; ",Exploring ways to improve reuse between Industrial Embedded Systems and Discrete Event Simulators,2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA),,,1-4,2021,IEEE
"Svensson, Roland; Andersson, Per; Nyström, Per; Öman, Viktor; ","MER14, MDH: s Evaluation for improved Research quality: Research evaluation conducted at Mälardalen University in 2013-14",,,,,2014,Mälardalens högskola
"Grueso, Milton Javier Sanchez; Alegría, Julio Ariel Hurtado; ",Un lenguaje de modelado para representar visualmente las decisiones de diseño arquitectónico y su rationale: Rationale,Informador Técnico,84,2,155-174,2020,
"Sánchez-Grueso, Milton; Hurtado-Alegría, Julio; ",Un lenguaje de modelado para representar visualmente las decisiones de diseño arquitectónico y su rationale,Informador Técnico,84,2,1-32,2020,SENA-ASTIN
"Chen, Yong; ",A survey on industrial information integration 2016–2019,Journal of Industrial Integration and Management,5,01,33-163,2020,World Scientific
